image_path,label
./license_plate_restoration/Foggy Images/IMG_5776.jpeg,9POM121
./license_plate_restoration/Foggy Images/IMG_5870.jpeg,7GKE712
./license_plate_restoration/Foggy Images/IMG_5871.jpeg,9MWC382
./license_plate_restoration/Foggy Images/IMG_5877.jpeg,STA2EF
./license_plate_restoration/Foggy Images/IMG_5878.jpeg,3LA8EB
./license_plate_restoration/Foggy Images/IMG_5880.jpeg,85E0204
./license_plate_restoration/Foggy Images/IMG_5882.jpeg,BJY0327
./license_plate_restoration/Foggy Images/IMG_5883.jpeg,FNA1DH
./license_plate_restoration/Foggy Images/IMG_5884.jpeg,2DA8F0
./license_plate_restoration/Foggy Images/IMG_5886.jpeg,MMZWHP
./license_plate_restoration/Foggy Images/IMG_5891.jpeg,FOA4SW
./license_plate_restoration/Foggy Images/IMG_5892.jpeg,TXA29X
./license_plate_restoration/Foggy Images/IMG_5894.jpeg,6ZA6NZ
./license_plate_restoration/Foggy Images/IMG_5895.jpeg,7CTJ853
./license_plate_restoration/Foggy Images/IMG_5896.jpeg,BLA512
./license_plate_restoration/Foggy Images/IMG_5897.jpeg,W8A091
./license_plate_restoration/Foggy Images/IMG_5899.jpeg,XNA1Y1
./license_plate_restoration/Foggy Images/IMG_5900.jpeg,BVL4257
./license_plate_restoration/Foggy Images/IMG_5958.jpeg,80970B4
./license_plate_restoration/Foggy Images/IMG_5959.jpeg,4245363
./license_plate_restoration/Foggy Images/IMG_5961.jpeg,9TWF744
./license_plate_restoration/Foggy Images/IMG_5962.jpeg,8PAT244
./license_plate_restoration/Foggy Images/IMG_5963.jpeg,50870H3
./license_plate_restoration/Foggy Images/IMG_5964.jpeg,8HEE950
./license_plate_restoration/Foggy Images/IMG_5965.jpeg,9TWF744
./license_plate_restoration/Foggy Images/IMG_6180.jpeg,7TGJ110
./license_plate_restoration/Foggy Images/IMG_6184.jpeg,9SHX552
./license_plate_restoration/Foggy Images/IMG_6188.jpeg,7SOV044
./license_plate_restoration/Foggy Images/IMG_6192.jpeg,8BMG600
./license_plate_restoration/Foggy Images/IMG_6195.jpeg,6VAU284
./license_plate_restoration/Foggy Images/IMG_6202.jpeg,7UQP650
./license_plate_restoration/Foggy Images/IMG_6410.jpeg,CN48989
./license_plate_restoration/Foggy Images/IMG_6647 copy.jpeg,DM50964
./license_plate_restoration/Foggy Images/IMG_6647.jpeg,EH43217
./license_plate_restoration/Foggy Images/IMG_6652.jpeg,HASNATN
./license_plate_restoration/Foggy Images/IMG_6653.jpeg,NERYHQ
./license_plate_restoration/Foggy Images/IMG_6655.jpeg,CZ 24949
./license_plate_restoration/Foggy Images/IMG_6657.jpeg,EK 30186
./license_plate_restoration/Foggy Images/IMG_6658.jpeg,FQ 34248
./license_plate_restoration/Foggy Images/IMG_6661.jpeg,AZ 87822
./license_plate_restoration/Foggy Images/IMG_6663.jpeg,DC 62199
./license_plate_restoration/Foggy Images/IMG_6678.jpeg,B5688 EL
./license_plate_restoration/Foggy Images/IMG_6682.jpeg,SMITA 18
./license_plate_restoration/Foggy Images/IMG_6891.jpeg,DV 89203
./license_plate_restoration/Foggy Images/IMG_6892.jpeg,C2841 EL
./license_plate_restoration/Foggy Images/IMG_6893.jpeg,DS 98613
./license_plate_restoration/Foggy Images/IMG_6894.jpeg,EB 52047
./license_plate_restoration/Foggy Images/IMG_6895.jpeg,FJ 96866
./license_plate_restoration/Foggy Images/IMG_6896.jpeg,43074
./license_plate_restoration/Foggy Images/IMG_6897.jpeg,YO CINDY
./license_plate_restoration/Foggy Images/IMG_7275.jpeg,8PAM497
./license_plate_restoration/Foggy Images/IMG_7276.jpeg,8GLU332
./license_plate_restoration/Foggy Images/IMG_7277.jpeg,8RGV530
./license_plate_restoration/Foggy Images/IMG_7278.jpeg,9RFE162
./license_plate_restoration/Foggy Images/IMG_7279.jpeg,PINGACK
./license_plate_restoration/Foggy Images/IMG_7281.jpeg,7NQJ925
./license_plate_restoration/Foggy Images/IMG_7282.jpeg,8LGE143
./license_plate_restoration/Foggy Images/IMG_7285.jpeg,26390F1
./license_plate_restoration/Foggy Images/IMG_7286.jpeg,83018X3
./license_plate_restoration/Foggy Images/IMG_7287.jpeg,9TXR619
./license_plate_restoration/Foggy Images/IMG_7288.jpeg,8TBC212
./license_plate_restoration/Foggy Images/IMG_7289.jpeg,6J93188
./license_plate_restoration/Foggy Images/IMG_7291.jpeg,8UAX476
./license_plate_restoration/Foggy Images/IMG_7292.jpeg,07975E4
./license_plate_restoration/Foggy Images/IMG_7293.jpeg,9HTK639
./license_plate_restoration/Foggy Images/IMG_7295.jpeg,48475N2
./license_plate_restoration/Foggy Images/IMG_7296.jpeg,7RJM387
./license_plate_restoration/Foggy Images/IMG_7297.jpeg,27F3506
./license_plate_restoration/Foggy Images/IMG_7298.jpeg,7YEL174
./license_plate_restoration/Foggy Images/IMG_7299.jpeg,9AWE167
./license_plate_restoration/Foggy Images/IMG_7300.jpeg,8LED381
./license_plate_restoration/Foggy Images/IMG_7302.jpeg,7VZE943
./license_plate_restoration/Foggy Images/IMG_7303.jpeg,8NSA622
./license_plate_restoration/Foggy Images/IMG_7304.jpeg,7XFK799
./license_plate_restoration/Foggy Images/IMG_7305.jpeg,9AED652
./license_plate_restoration/Foggy Images/IMG_7307.jpeg,9DMY895
./license_plate_restoration/Foggy Images/IMG_7308.jpeg,5XVY459
./license_plate_restoration/Foggy Images/IMG_7309.jpeg,8WHK851
./license_plate_restoration/Foggy Images/IMG_7310_foggy.jpeg,7PCS854
./license_plate_restoration/Foggy Images/IMG_7311_foggy.jpeg,6KFK706
./license_plate_restoration/Foggy Images/IMG_7313_foggy.jpeg,9TKT629
./license_plate_restoration/Foggy Images/IMG_7315_foggy.jpeg,8ZDU196
./license_plate_restoration/Foggy Images/IMG_7316_foggy.jpeg,9POM121
./license_plate_restoration/Foggy Images/IMG_7317_foggy.jpeg,8CMX516
./license_plate_restoration/Foggy Images/IMG_7318_foggy.jpeg,679YZ0
./license_plate_restoration/Foggy Images/IMG_8534.jpeg,97673C
./license_plate_restoration/Foggy Images/IMG_8541.jpeg,ARA8JR
./license_plate_restoration/Foggy Images/IMG_8542.jpeg,52A94Y
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.00.51PM_resized.png,T732426C
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.00.58PM_resized.png,7FDZ446
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.01.39PM_resized.png,7XMK666
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.03.38PM_resized.png,8ZPC871
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.03.56PM_resized.png,82362W1
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.04.09PM_resized.png,1184TX
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.04.18PM_resized.png,013MLX
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.04.29PM_resized.png,RFM7334
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.04.38PM_resized.png,NYR6525
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.04.53PM_resized.png,8RNN844
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.05.05PM_resized.png,6S32601
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.05.13PM_resized.png,WHYUFAT
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.05.27PM_resized.png,8YOU918
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.05.33PM_resized.png,8TGH790
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.07.06PM_resized.png,8L94622
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.10.17PM_resized.png,EL97768
./license_plate_restoration/Foggy Images/Screenshot 2025-10-08 at 12.11.41PM_resized.png,9BQE189
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.27.17PM_foggy.png,7XHK600
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.27.21PM_foggy.png,7TWE323
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.29.26PM_foggy.png,7WIC368
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.29.33PM_foggy.png,5HCA754
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.30.33PM_foggy.png,8HUW988
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.30.37PM_foggy.png,9MKE840
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.30.41PM_foggy.png,TZH7698
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.32.33PM_foggy.png,P624267
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.33.27PM_foggy.png,9FCG101
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.33.53PM_foggy.png,61421L3
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.34.42PM_foggy.png,PGJ4292
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.34.47PM_foggy.png,PGJ4292
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.35.44PM_foggy.png,THENILE
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.35.47PM_foggy.png,APEMODE
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.36.03PM_foggy.png,CTURTYL
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.41.57PM_foggy.png,9CGU905
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.42.15PM_foggy.png,8ZPJ258
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.42.55PM_foggy.png,8KER863
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.43.16PM_foggy.png,YP71027
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.43.37PM_foggy.png,8TYU926
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.43.59PM_foggy.png,2SRA544
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.44.15PM_foggy.png,2SRA544
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.44.29PM_foggy.png,8ZCL305
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.45.23PM_foggy.png,7XME382
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 3.45.41PM_foggy.png,754
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 5.07.44PM.png,1632ZE
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 5.13.08PM.png,4TA8687
./license_plate_restoration/Foggy Images/Screenshot 2025-12-05 at 5.21.52PM.png,1287931
./license_plate_restoration/Foggy Images/frame_000613.jpeg,5YVR179
./license_plate_restoration/Foggy Images/frame_000645.jpeg,5YVR179
